
 id |                   tags                    |                         title                          |                                                                                                                                 description                                                                                                                                  |          created_at           | like_count | author_id 
 25 | {#C1,"#Cultural Insights"}                | British vs. American English                           | Which do you guys like more, especially for speaking. I feel like even though many people envy the British accent, it can sound a bit forced at times, especially if you are not a native.                                                                                   | 2024-12-16 18:22:32.411415+00 |          0 |         6
 26 | {"#Cultural Insights",#B1}                | Similar Names in Turkish & English                     | I know that my name (Yusuf) is sometimes used in English speaking world (usually as Yousuf). Are there anymore names that you know like this?                                                                                                                                | 2024-12-16 18:24:34.91351+00  |          0 |         6
 13 | {"#Vocabulary Tips",#B1}                  | Learn 5 New Words a Day                                | Want to grow your vocabulary fast? Try writing 5 new words daily in a notebook and using them in a conversation. Start with these: "curious," "generous," "bright," "agree," and "solve."                                                                                    | 2024-12-16 18:19:05.044222+00 |          1 |         9
 27 | {#Challenges,#Prepositions}               | English Prepositions Are So Confusing!                 | As a Turkish speaker, I always struggle with prepositions like "in," "on," and "at." For example, why do we say "on the bus" but "in the car"? In Turkish, we just say "otobüste" or "arabada," and it feels much simpler.                                                  +| 2024-12-16 18:27:18.77293+00  |          0 |         3
    |                                           |                                                        | How did you figure out which preposition to use in English? Are there any rules or tips that make it easier?                                                                                                                                                                 |                               |            | 
 29 | {#Pronunciation,#Phonetics}               | Cracking the Code of English Word Stress               | English word stress feels like a puzzle sometimes, especially with words like "record" that change depending on how they’re used. But I’ve noticed some patterns, like nouns often being stressed at the beginning and verbs at the end.                                    +| 2024-12-16 18:28:26.860407+00 |          0 |         3
    |                                           |                                                        | What tricks or patterns have you discovered to sound more natural? Let’s decode word stress together!                                                                                                                                                                        |                               |            | 
 31 | {#Pronunciation,#Sounds,"#Practice Tips"} | Perfecting the English ‘R’ Sound with Simple Exercises | The English "r" sound is so unique compared to Turkish, but practicing it has been surprisingly fun. I’ve been using tongue placement exercises and recording myself to hear the difference. Words like "world" and "really" are starting to feel more natural!             +| 2024-12-16 18:30:23.919551+00 |          1 |         3
    |                                           |                                                        | How did you master tricky English sounds? Share your best exercises or tips!                                                                                                                                                                                                 |                               |            | 
 30 | {#Fun,"#Learning Material"}               | Any Puzzle Suggestions?                                | Hey do you guys know of any cool puzzles that I can play with my friends that can help with English development as well? It doesn't have to specifically be about learning English, but it'd be a plus.                                                                      | 2024-12-16 18:29:35.430496+00 |          1 |         7
 28 | {#C2,#Vocabulary}                         | Attenuate vs. Extenuate                                | When I look at a dictionary, they seem to have similar meanings. If possible, I'd like to see some example usages of both words to know when to use which one. Any help would be much appreciated.                                                                           | 2024-12-16 18:28:05.488493+00 |          1 |         7
(31 rows)

